01/05/2025; 13:50; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 13:50; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 13:51; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 13:51; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 13:52; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 13:52; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 13:54; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 13:54; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 13:54; 127.0.0.1; Duda; TODOS; TODOS; login
01/05/2025; 13:54; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 13:54; 127.0.0.1; Duda; TODOS; TODOS; logoff
01/05/2025; 13:54; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 13:57; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 13:57; 127.0.0.1; Duda; TODOS; TODOS; login
01/05/2025; 13:57; 127.0.0.1; Vini; 127.0.0.1; Duda; msg:Oi
01/05/2025; 13:57; 127.0.0.1; Duda; TODOS; TODOS; logoff
01/05/2025; 13:58; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 13:59; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 13:59; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 13:59; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 13:59; 127.0.0.1; Duda; TODOS; TODOS; login
01/05/2025; 14:00; 127.0.0.1; Duda; TODOS; TODOS; logoff
01/05/2025; 14:00; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 14:00; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 14:00; 127.0.0.1; Duda; TODOS; TODOS; login
01/05/2025; 14:00; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 14:01; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 14:01; 127.0.0.1; Duda; TODOS; TODOS; login
01/05/2025; 14:01; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 14:01; 127.0.0.1; Duda; TODOS; TODOS; logoff
01/05/2025; 14:02; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 14:02; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 14:02; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 14:03; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 14:03; 127.0.0.1; Duda; TODOS; TODOS; login
01/05/2025; 14:03; 127.0.0.1; Vini; 127.0.0.1; Duda; msg:Oi
01/05/2025; 14:03; 127.0.0.1; Duda; 127.0.0.1; Vini; msg:OI
01/05/2025; 14:03; 127.0.0.1; Willi; TODOS; TODOS; login
01/05/2025; 14:03; 127.0.0.1; Willi; 127.0.0.1; Vini; msg:OI
01/05/2025; 14:04; 127.0.0.1; Duda; 127.0.0.1; Willi; msg:Olá 
01/05/2025; 14:04; 127.0.0.1; Vini; TODOS; TODOS; logoff
01/05/2025; 14:04; 127.0.0.1; Willi; TODOS; TODOS; logoff
01/05/2025; 14:04; 127.0.0.1; Duda; TODOS; TODOS; logoff
01/05/2025; 14:07; 127.0.0.1; Vini; TODOS; TODOS; login
01/05/2025; 14:07; 127.0.0.1; Duda; TODOS; TODOS; login
01/05/2025; 14:07; 127.0.0.1; Vini; 127.0.0.1; Duda; msg:Oi
